// Default buttons.
// CORNER - Top left corner which is flipped, not scaled.
// VEDGE  - Vertical edge.  Stretched to fit between the top and botton corners.
// HEDGE  - Horizontal edge.  Stretched to fit between the left and right corners.
// CENTER - Stretched to fit between the edges.
MARS_BUTTON_IDLE_CENTER,GUI/StarMapElements.tga,195,375,1,1
MARS_BUTTON_IDLE_CORNER,GUI/StarMapElements.tga,184,364,12,12
MARS_BUTTON_IDLE_VEDGE,GUI/StarMapElements.tga,184,375,12,1
MARS_BUTTON_IDLE_HEDGE,GUI/StarMapElements.tga,195,364,1,12
MARS_BUTTON_MOUSEOVER_CENTER,GUI/StarMapElements.tga,195,405,1,1
MARS_BUTTON_MOUSEOVER_CORNER,GUI/StarMapElements.tga,184,394,12,12
MARS_BUTTON_MOUSEOVER_VEDGE,GUI/StarMapElements.tga,184,405,12,1
MARS_BUTTON_MOUSEOVER_HEDGE,GUI/StarMapElements.tga,195,394,1,12
MARS_BUTTON_PRESSED_CENTER,GUI/StarMapElements.tga,262,375,1,1
MARS_BUTTON_PRESSED_CORNER,GUI/StarMapElements.tga,251,364,12,12
MARS_BUTTON_PRESSED_VEDGE,GUI/StarMapElements.tga,251,375,12,1
MARS_BUTTON_PRESSED_HEDGE,GUI/StarMapElements.tga,262,364,1,12
MARS_BUTTON_DISABLED_CENTER,GUI/StarMapElements.tga,262,405,1,1
MARS_BUTTON_DISABLED_CORNER,GUI/StarMapElements.tga,251,394,12,12
MARS_BUTTON_DISABLED_VEDGE,GUI/StarMapElements.tga,251,405,12,1
MARS_BUTTON_DISABLED_HEDGE,GUI/StarMapElements.tga,262,394,1,12

// Default LCR button (LCR = Left/Center/Right)
// Fixed height.  Stretched to fit horizontall.
MARS_LCRBUTTON_IDLE_LEFT,GUI/StarMapElements.tga,184,364,12,24
MARS_LCRBUTTON_IDLE_CENTER,GUI/StarMapElements.tga,195,364,42,24
MARS_LCRBUTTON_IDLE_RIGHT,GUI/StarMapElements.tga,234,364,12,24
MARS_LCRBUTTON_MOUSEOVER_LEFT,GUI/StarMapElements.tga,184,394,12,24
MARS_LCRBUTTON_MOUSEOVER_CENTER,GUI/StarMapElements.tga,216,394,1,24
MARS_LCRBUTTON_MOUSEOVER_RIGHT,GUI/StarMapElements.tga,234,394,12,24
MARS_LCRBUTTON_PRESSED_LEFT,GUI/StarMapElements.tga,251,364,12,24
MARS_LCRBUTTON_PRESSED_CENTER,GUI/StarMapElements.tga,286,364,1,24
MARS_LCRBUTTON_PRESSED_RIGHT,GUI/StarMapElements.tga,301,364,12,24
MARS_LCRBUTTON_DISABLED_LEFT,GUI/StarMapElements.tga,251,394,12,24
MARS_LCRBUTTON_DISABLED_CENTER,GUI/StarMapElements.tga,286,394,1,24
MARS_LCRBUTTON_DISABLED_RIGHT,GUI/StarMapElements.tga,301,394,12,24

// Default scrollbar.
// Fixed width.  Scaled vertically.
// Buttons use same image,flipped top to bottom.
MARS_SCROLLBAR_IDLE_BUTTONUP,GUI/StarMapElements.tga,11,177,13,18,//10,185,15,15
MARS_SCROLLBAR_IDLE_BUTTONDN,GUI/StarMapElements.tga,26,247,13,18,//10,220,15,15
MARS_SCROLLBAR_IDLE_TRACK_CAP,GUI/StarMapElements.tga,11,199,13,5
MARS_SCROLLBAR_IDLE_TRACK_CTR,GUI/StarMapElements.tga,11,204,13,1
MARS_SCROLLBAR_IDLE_THUMB_CAP,GUI/StarMapElements.tga,30,185,13,6
MARS_SCROLLBAR_IDLE_THUMB_CTR,GUI/StarMapElements.tga,0,0,0,0
//MARS_SCROLLBAR_MOUSEOVER_BUTTONDN
//MARS_SCROLLBAR_MOUSEOVER_TRACK_CAP
//MARS_SCROLLBAR_MOUSEOVER_TRACK_CTR
//MARS_SCROLLBAR_MOUSEOVER_THUMB_CAP
//MARS_SCROLLBAR_MOUSEOVER_THUMB_CTR
//MARS_SCROLLBAR_PRESSED_BUTTONUP
//MARS_SCROLLBAR_PRESSED_BUTTONDN
//MARS_SCROLLBAR_PRESSED_TRACK_CAP
//MARS_SCROLLBAR_PRESSED_TRACK_CTR
//MARS_SCROLLBAR_PRESSED_THUMB_CAP
//MARS_SCROLLBAR_PRESSED_THUMB_CTR
//MARS_SCROLLBAR_DISABLED_BUTTONUP
//MARS_SCROLLBAR_DISABLED_BUTTONDN
//MARS_SCROLLBAR_DISABLED_TRACK_CAP
//MARS_SCROLLBAR_DISABLED_TRACK_CTR
//MARS_SCROLLBAR_DISABLED_THUMB_CAP
//MARS_SCROLLBAR_DISABLED_THUMB_CTR

// Default List.
// BG = Background.
// HL = Higlight (for selected items).
